Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
703866,1106,E,O,ST,90744,11/25/2015,,GENERAL,,O,33.79232,-118.24935
703867,24623,S,AVALON,BLVD,90744,11/25/2015,,GENERAL,,O,33.80207,-118.26416
703874,6607,W,MARYLAND,DR,90048,11/25/2015,,GENERAL,,O,34.06777,-118.37109
703968,710,N,WILMINGTON,BLVD,90744,11/25/2015,,GENERAL,,O,33.77822,-118.27389
703972,1929,S,RAYMOND,AVE,90007,11/30/2015,,GENERAL,,O,34.03904,-118.29758
703975,17447,W,PARTHENIA,ST,91325,11/30/2015,,GENERAL,,O,34.22871,-118.51474
703977,12337,W,FOOTHILL,BLVD,91342,11/30/2015,,GENERAL,,O,34.28334,-118.40417
704040,8461,N,GLENOAKS,BLVD,91352,11/30/2015,,VEIP,,O,34.2238,-118.36097
704041,9011,S,HOOVER,ST,90044,11/30/2015,2/17/2016,GENERAL,79,O,33.95477,-118.2871
704042,6541,W,HOLLYWOOD,BLVD,90028,11/30/2015,,CITATIONS,,O,34.10175,-118.3324
704043,6202,W,SANTA MONICA,BLVD,90038,11/30/2015,,CITATIONS,,O,34.0906,-118.32463
704044,4857,N,TILDEN,AVE,91403,12/1/2015,,CNAP,,O,34.15922,-118.44774
704198,12223,W,GORHAM,AVE,90049,12/1/2015,,GENERAL,,O,34.04827,-118.47336
704200,12761,W,JUDD,ST,91331,12/1/2015,,GENERAL,,O,34.27827,-118.41105
704243,4310,N,MCKINLEY,AVE,90011,12/1/2015,,GENERAL,,O,34.00532,-118.26066
704245,5508,S,BANDERA,ST,90058,12/1/2015,,GENERAL,,O,33.99265,-118.23991
704247,1143,E,ADAMS,BLVD,90011,12/1/2015,,GENERAL,,O,34.01825,-118.25341
704248,1115,S,WALL,ST,90015,12/1/2015,,GENERAL,,O,34.03613,-118.25465
703984,10236,N,HADLEY,AVE,91324,11/30/2015,,GENERAL,,O,34.25649,-118.55667
704055,3121,W,WAVERLY,DR,90027,12/1/2015,,GENERAL,,O,34.11221,-118.26953
737316,1027,W,11TH,ST,90731,9/22/2016,,GENERAL,,O,33.73445,-118.29966
704520,1731,S,WEST,BLVD,90019,12/2/2015,,GENERAL,,O,34.04147,-118.33678
704254,1650,W,FLORENCE,AVE,90047,12/1/2015,,GENERAL,,O,33.9744,-118.30643
704433,15503,W,EL CAJON,ST,91342,12/2/2015,,GENERAL,,O,34.30429,-118.46968
704439,605,S,PACIFIC,AVE,90731,12/2/2015,,GENERAL,,O,33.73852,-118.28808
704442,940,E,49TH,ST,90011,12/2/2015,,GENERAL,,O,33.99915,-118.25913
704478,451,E,41ST,PL,90011,12/2/2015,,GENERAL,,O,34.00828,-118.26749
704511,2229,S,THURMAN,AVE,90016,12/2/2015,,GENERAL,,O,34.03741,-118.36671
704515,4762,W,ADAMS,BLVD,90016,12/2/2015,,GENERAL,,O,34.03236,-118.34393
704524,10668,N,TELFAIR,AVE,91331,12/2/2015,,GENERAL,,O,34.26417,-118.42601
704569,5746,W,ADAMS,BLVD,90016,12/2/2015,,GENERAL,,O,34.03227,-118.36865
