Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
710299,715,,E,56TH,ST,,90011,2/3/2016,,108B205   688,GENERAL,South Los Angeles,,O,33.9917,-118.26256,2016
710306,7730,,N,PASO ROBLES,AVE,,91406,2/3/2016,,189B133   865,GENERAL,South Valley,,O,34.21128,-118.5022,2016
710315,22113,,W,CANTLAY,ST,,91303,2/3/2016,,186B101   966,GENERAL,South Valley,,O,34.20209,-118.60863,2016
710320,1232,,N,TAMARIND,AVE,,90038,2/3/2016,,144B189   232,GENERAL,Central,,O,34.0936,-118.3189,2016
711533,6420,,W,FRANKLIN,AVE,,90028,2/10/2016,,150A187   220,GENERAL,Central,,O,34.10507,-118.32966,2016
712666,163,,E,64TH,ST,,90003,2/26/2016,,105B205  1016,GENERAL,South Los Angeles,,O,33.98162,-118.27167,2016
712668,5847,,S,FIGUEROA,ST,,90003,2/26/2016,,108B201  1471,GENERAL,South Los Angeles,,O,33.98839,-118.28292,2016
712669,8507,,N,BARDWELL,AVE,,91402,2/26/2016,,192B157   316,GENERAL,North Valley,,O,34.22456,-118.43234,2016
714158,3960,,W,WILSHIRE,BLVD,,90010,3/9/2016,,132B193    72,GENERAL,Central,,O,34.06153,-118.31323,2016
714639,4647,,W,SATURN,ST,,90019,3/16/2016,,126B181   353,GENERAL,South Los Angeles,,O,34.04371,-118.34008,2016
715581,6970,,N,LURLINE,AVE,,91306,3/29/2016,,183B109   507,GENERAL,South Valley,,O,34.19729,-118.58334,2016
716618,1239,,S,ORANGE,DR,,90019,4/13/2016,,129B181   232,GENERAL,Central,,O,34.05227,-118.34553,2016
409293,12515,,W,SHELDON,ST,,91352,3/14/2011,,195B165   369,GENERAL,North Valley,,O,34.2306,-118.40594,2011
408823,1047,,S,NORMANDIE,AVE,,90006,3/10/2011,,129B193   547,GENERAL,Central,,O,34.05123,-118.30016,2011
409736,1834,,S,SAWTELLE,BLVD,,90025,3/15/2011,,126B153   377,GENERAL,West Los Angeles,,O,34.04317,-118.44534,2011
410143,12108,,W,IVY,PL,,90064,3/16/2011,,120B153  1046,GENERAL,West Los Angeles,,O,34.02265,-118.44451,2011
410216,2423,,S,CARMONA,AVE,,90016,3/17/2011,,123B177   583,GENERAL,South Los Angeles,,O,34.03461,-118.36316,2011
410220,20843,,S,NORMANDIE,AVE,,90501,3/17/2011,,054B197   172,CNAP,Harbor,,O,33.84067,-118.2994,2011
